input,output
"! máy cũ vết xước , soi kỹ ! pin . tổng_quan chất_lượng tốt . ae mua lăn_tăn nha . máy đẹp lắm 😍",mẫu mã tệ
"( mua tiki giao hàng ; hàng hãng & nguyên niêm_phong ( hàng đúng apple kiểm_tra imei apple an_tâm hóa_đơn điện_tử kèm imei , đối_chứng hàng . hãng nguyên niêm_phong",mẫu mã tốt
"( trải nghiệm sản_phẩm một tuần viết , toàn_bộ đều dựa cảm_nhận ) giá_cả , sản_phẩm giá tốt 2tr30 một điện_thoại trang_bị 4gb ram 64gb bộ_nhớ . hộp phụ_kiện vsmart trang_bị đầy_đủ , ốp lưng , tai_nghe cáp sạc củ sạc đều đủ . ngoại quan , thiết_bị sở_hữu thiết_kế trang_nhã lịch_sự , màu_sắc tối_giản , mặt lưng nhám liền lạc ( tội bám vân / mồ_hôi ) , màn_hình hd + 6.1 inch đủ nét nhu_cầu hằng , giọt màn_hình trông thô chưa trau_chuốt lắm . cảm_biến vân tay_mặt lưng nhạy . khay sim lựa_chọn 1 sim 1 thẻ_nhớ 2 sim . phần_cứng , phiên_bản star 4 vsmart cải_thiện chất_lượng camera , joy 2 + cụm cam 13mp chất_lượng ảnh chưa tốt , phiên_bản trang_bị cụm camera "" chống mù "" 8mp cam góc rộng 5mp mặt lưng , đáp_ứng đủ nhu_cầu chụp ảnh thông_thường ( không chụp đêm , không hdr , chụp tốt điều_kiện_đủ , không độ nét ) , tương_tự camera 8mp đáp_ứng tốt nhu_cầu thường_ngày . star 4 trang_bị chip helio p35 ngang ngang ap ít delay thao_tác mượt , tựa game như "" pubg mobile "" setting 30fps giao_tranh đông drop đôi_chút , tựa game liên_minh huyền_thoại tốc chiến đồ_họa trung fps duy_trì 30 , giao_tranh không giật lag . nhiệt_độ máy đồ_họa không nóng ( ốp lưng ) hạn_chế ap chạy ngầm như đẩy thông_báo , pin drop 10 % 10 - 20 phút . loa máy không to ( ) chất âm bình_thường . pin tiếc máy trang_bị viên pin 3500mah sạc 10w ( sạc 2h pin ) , nhu_cầu thông_thường lướt mạng xã_hội , video đủ 1 . phần_mềm thiết_bị cài_đặt vos 3.0 dựng android 10 android , không linh_tinh quảng_cáo cập_nhật đều_đặn vá 4gb ram thiết_bị cập_nhật phần_mềm 1 trừ 2 ( android 10 kernel chạy chiếm 1.6 trừ 1.9 gb ram , ap mạng xã liên_tục ram thường_xuyên 2.2 trừ 2.5 gb ) . không máy không ap vsmart faceid cơ_bản vân khóa màn_hình thông_thường . bộ_nhớ 64gb đủ , không đủ chế_độ 1 sim 1 thẻ_nhớ mở_rộng bộ_nhớ ( format thẻ_nhớ thành tổng_kết một sản_phẩm tốt phân khúc 2 triệu , học_sinh , sinh_viên , lao_động thu_nhập , lớn_tuổi , đáp_ứng tốt nhu_cầu thường_ngày , "" "" tựa game hot , phần_mềm tương_lai . phẩm tốt phân khúc",hiệu suất tốt và giá tiền tốt và mẫu mã tốt và phụ kiện tốt và cấu hình tốt
( ảnh tính_chất xu ) sản_phẩm chất_lượng giá rẻ . shop hướng_dẫn chu_đáo . không chỗ nhắn_tin tầm 30p shop trả_lời liền . mua shop 3 . cực_kì uy_tín nha,phục vụ tốt
"* 6 bắt_thăm trúng thưởng kindle fire 2 3 ji pin trâu_bò , mỗi_tội_lỗi_thời không play video . hôm_qua mua quê đá bóng , hôm_nay , good ! * hai tiếng mày_mò cài google play_store ( hướng_dẫn : ; trang_web tải file , thử cài version không cài version ) . * thử nhật xét như : trừ máy đúng gen 8 trừ chạy mượt_mà video lướt web trừ màn_hình nét ful hd , màu_sắc video hình_ảnh hơi nhạt_trừ chưa không ntn mới_đầu pin ổn trừ chụp hình * giá mua không_thể đòi hòi , duyệt ! *",vấn đề khác tốt
", ban_đầu đẹp , hiệu_quả chờ kì hài_lòng",mẫu mã tốt
", chuẩn hàng hãng chưa active , tiki mua iphone giá hợp_lí đúng chất_lượng . ủng_hộ tiki ! chuẩn hãng chưa active !",tính xác thực tốt
", chất_lượng tốt",vấn đề khác tốt
", cứng_cáp ! shop giao cẩn_thận , hàng không móp méo ok , sang_trọng",vận chuyển tốt
", gọn , hàng đúng như mô_tả",vận chuyển tốt
