task,raw_input,input,output,raw_output
acsa,Giá 53k size vừa.,giá giá tiền cỡ vừa .,giá tiền đồ uống tạm và lựa chọn đồ uống tạm,"{DRINKS#PRICES, neutral}, {DRINKS#STYLE&OPTIONS, neutral}"
acsa,Nhưng nói chung cũng hơi đắt.,nhưng nói chung cũng hơi đắt .,giá tiền nhà hàng tệ,"{RESTAURANT#PRICES, negative}"
acsa,Mình ăn rất hôi mùi dầu.,mình ăn rất hôi mùi dầu .,chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}"
acsa,Mình ăn chưa baoh thấy mùi hôi hải sản.,mình ăn chưa baoh thấy mùi hôi hải sản .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,3 dĩa vs 2 lon Revive mà có 190k thui(.,num dĩa với num lon revive mà có giá tiền thui ( .,giá tiền nhà hàng tốt,"{RESTAURANT#PRICES, positive}"
acsa,Ở đây ngay khu vắng nên khách cũng không đông mấy.,ở đây ngay khu vắng nên khách cũng không đông mấy .,nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}"
acsa,"Quán đông lắm, gọi món phải đợi hơi lâu, ko biết phải tại mình đi trễ ko, nhưng mà nghe nói ở đây giờ nào cũng đông cũng phải ngồi đợi một lúc hết.","quán đông lắm , gọi món phải đợi hơi lâu , không biết phải tại mình đi trễ không , nhưng mà nghe nói ở đây giờ nào cũng đông cũng phải ngồi đợi một lúc hết .",nhà hàng nói chung tốt và phục vụ tệ,"{RESTAURANT#GENERAL, positive}, {SERVICE#GENERAL, negative}"
acsa,"Mình uống trà sữa lài hạnh nhân khá thơm nha, vị hạnh nhân không đậm mấy nhưng mùi lài khá thơm, đậm vị trà hơi đắng nhẹ, độ ngọt vừa phải.","mình uống trà sữa lài hạnh nhân khá thơm nha , vị hạnh nhân không đậm mấy nhưng mùi lài khá thơm , đậm vị trà hơi đắng nhẹ , độ ngọt vừa phải .",chất lượng đồ uống tốt và lựa chọn đồ uống tạm,"{DRINKS#QUALITY, positive}, {DRINKS#STYLE&OPTIONS, neutral}"
acsa,"Không gian trang trí đơn giàn mà ấm cúng, nên mình cực thích.","không gian trang trí đơn giàn mà ấm cúng , nên mình cực thích .",không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,Chè lạnh thì hình như lúc nào cũng là sương sa sương sáo hột lựu.,chè lạnh thì hình như lúc nào cũng là sương sa sương sáo hột lựu .,lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}"
acsa,Bánh bé xíu xiu deco siêu đẹp ko nỡ ăn luôn 😤.,bánh bé xíu xiu trang trí siêu đẹp không nỡ ăn luôn tệ .,lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}"
acsa,"Nhân viên phục vụ chu đáo, nhẹ nhàng.","nhân viên phục vụ chu đáo , nhẹ nhàng .",phục vụ tốt,"{SERVICE#GENERAL, positive}"
acsa,Đồ ăn rất tươi và nêm nếm rất rất rất vừa khẩu vị của mình.,đồ ăn rất tươi và nêm nếm rất rất rất vừa khẩu vị của mình .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}"
acsa,Mình đã ăn được 3-4 lần rồi và sẽ còn ghé lại ăn tiếp :)).,mình đã ăn được num - num lần rồi và sẽ còn ghé lại ăn tiếp : ) ) .,nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}"
acsa,"Mới đi chi nhánh Hàm Nghi thôi thì thấy ở đây setup các thứ theo phong cách cổ xưa, bàn ghế, nền nhà cũng như các item đều mang hơi hướng hoài niệm :)).","mới đi chi nhánh hàm nghi thôi thì thấy ở đây thiết kế các thứ theo phong cách cổ xưa , bàn ghế , nền nhà cũng như các item đều mang hơi hướng hoài niệm : ) ) .",không gian tốt,"{AMBIENCE#GENERAL, positive}"
acsa,Chỗ để xe hơi chật nhưng trên phố nên cũng không thể rộng hơn được 😅.,chỗ để xe hơi chật nhưng trên phố nên cũng không thể rộng hơn được tệ .,vấn đề khác tạm,"{RESTAURANT#MISCELLANEOUS, neutral}"
