input_raw,input,output,output_raw
không gian hơi chật và nhân viên khiến khách dễ chịu quá chừng,không gian hơi chật và nhân viên khiến khách dễ chịu quá chừng,dịch vụ tốt vì nhân viên #tốt và không gian tệ vì không gian chật,"{SERVICE#GENERAL,nhân viên,positive,null}; {AMBIENCE#GENERAL,không gian,negative,chật}"
giá hơi cao nhưng chất lượng rất ok và nhân viên phục vụ tốt,giá hơi cao nhưng chất lượng rất ok và nhân viên phục vụ tốt,nhà hàng nói chung tốt vì chất lượng rất ok và dịch vụ tốt vì nhân viên phục vụ tốt và giá tiền nhà hàng tệ vì giá cao,"{RESTAURANT#GENERAL,chất lượng,positive,rất ok}; {SERVICE#GENERAL,nhân viên,positive,phục vụ tốt}; {RESTAURANT#PRICES,giá,negative,cao}"
"view cũng ok đó , quán cũng ổn đó , nhưng phong cách phục vụ + đồ ăn k duyệt được :)","quang cảnh cũng ok đó , quán cũng ổn đó , nhưng phong cách phục vụ + đồ ăn không duyệt được : )",dịch vụ tệ vì phong cách phục vụ #tệ và địa chỉ tạm vì view ok và nhà hàng nói chung tạm vì quán ổn và chất lượng đồ ăn tệ vì đồ ăn #tệ,"{SERVICE#GENERAL,phong cách phục vụ,negative,null}; {LOCATION#GENERAL,view,neutral,ok}; {RESTAURANT#GENERAL,quán,neutral,ổn}; {FOOD#QUALITY,đồ ăn,negative,null}"
mình đã từng cùng đồng nghiệp ăn ở quán cục gạch chi nhánh khác thì thấy quán trang trí rất đẹp phục vụ tận tình menu đa dạng và món ăn từ bài trí đến nêm nếm đều ổn,mình đã từng cùng đồng nghiệp ăn ở quán cục gạch chi nhánh khác thì thấy quán trang trí rất đẹp phục vụ tận tình thực đơn đa dạng và món ăn từ bài trí đến nêm nếm đều ổn,lựa chọn đồ ăn tạm vì bài trí ổn và dịch vụ tốt vì phục vụ tận tình và chất lượng đồ ăn tạm vì nêm nếm ổn và lựa chọn đồ ăn tốt vì menu đa dạng và không gian tốt vì trang trí đẹp,"{FOOD#STYLE&OPTIONS,bài trí,neutral,ổn}; {SERVICE#GENERAL,phục vụ,positive,tận tình}; {FOOD#QUALITY,nêm nếm,neutral,ổn}; {FOOD#STYLE&OPTIONS,menu,positive,đa dạng}; {AMBIENCE#GENERAL,trang trí,positive,đẹp}"
"nhân viên nhiệt tình , quán ngon giá cả bình thường","nhân viên nhiệt tình , quán ngon giá cả bình thường",nhà hàng nói chung tốt vì quán ngon và dịch vụ tốt vì nhân viên nhiệt tình và giá tiền nhà hàng tạm vì giá cả bình thường,"{RESTAURANT#GENERAL,quán,positive,ngon}; {SERVICE#GENERAL,nhân viên,positive,nhiệt tình}; {RESTAURANT#PRICES,giá cả,neutral,bình thường}"
đặc biệt là mấy món nướng lên cực lâu kiểu ăn gần no cái đem thịt lên trong khi trước đó kêu quài thì ko lên thịt nên ngoài trừ service hơi kém thì tất cả đều ok hết,đặc biệt là mấy món nướng lên cực lâu kiểu ăn gần no cái đem thịt lên trong khi trước đó kêu quài thì không lên thịt nên ngoài trừ dịch vụ hơi kém thì tất cả đều ok hết,dịch vụ tệ vì nó lâu và dịch vụ tệ vì service kém và nhà hàng nói chung tạm vì tất cả ok,"{SERVICE#GENERAL,null,negative,lâu}; {SERVICE#GENERAL,service,negative,kém}; {RESTAURANT#GENERAL,tất cả,neutral,ok}"
nói chung là trừ việc phục vụ hơi chậm thì món ăn thấy rất ổn,nói chung là trừ việc phục vụ hơi chậm thì món ăn thấy rất ổn,dịch vụ tệ vì phục vụ chậm và chất lượng đồ ăn tốt vì món ăn rất ổn,"{SERVICE#GENERAL,phục vụ,negative,chậm}; {FOOD#QUALITY,món ăn,positive,rất ổn}"
"đồ ăn không tệ nhưng lên món hơi chậm, thấy quán đông nên vẫn thông cảm được, chỗ gửi xe thì xa quá xa","đồ ăn không tệ nhưng lên món hơi chậm , thấy quán đông nên vẫn thông cảm được , chỗ gửi xe thì xa quá xa",dịch vụ tệ vì lên món chậm và chất lượng đồ ăn tạm vì đồ ăn không tệ và vấn đề khác tệ vì chỗ gửi xe xa và nhà hàng nói chung tạm vì quán đông,"{SERVICE#GENERAL,lên món,negative,chậm}; {FOOD#QUALITY,đồ ăn,neutral,không tệ}; {RESTAURANT#MISCELLANEOUS,chỗ gửi xe,negative,xa}; {RESTAURANT#GENERAL,quán,neutral,đông}"
thật bất ngờ là món phở chay rất ngon với giá vô cùng hợp lý mình nhớ là chưa tới 30k không gian nhà hàng nhỏ gồm 2 lầu nhưng bày trí rất ấm cúng và ấn tượng,thật bất ngờ là món phở chay rất ngon với giá vô cùng hợp lý mình nhớ là chưa tới giá tiền không gian nhà hàng nhỏ gồm num lầu nhưng bày trí rất ấm cúng và ấn tượng,chất lượng đồ ăn tốt vì phở chay ngon và không gian tệ vì không gian nhỏ và giá tiền đồ ăn tốt vì giá hợp lý và không gian tốt vì bày trí ấn tượng và không gian tốt vì bày trí ấm cúng,"{FOOD#QUALITY,phở chay,positive,ngon}; {AMBIENCE#GENERAL,không gian,negative,nhỏ}; {FOOD#PRICES,giá,positive,hợp lý}; {AMBIENCE#GENERAL,bày trí,positive,ấn tượng}; {AMBIENCE#GENERAL,bày trí,positive,ấm cúng}"
quán nằm ở trong hẻm khó tìm không gian hơi chật đồ ăn nhiều món ăn về hàn quốc giá cả hợp lí phù hợp với tuổi teen,quán nằm ở trong hẻm khó tìm không gian hơi chật đồ ăn nhiều món ăn về hàn quốc giá cả hợp lí phù hợp với tuổi ten,lựa chọn đồ ăn tốt vì đồ ăn hàn quốc và không gian tệ vì không gian chật và giá tiền đồ ăn tốt vì giá cả hợp lí và địa chỉ tệ vì nó khó tìm,"{FOOD#STYLE&OPTIONS,đồ ăn,positive,hàn quốc}; {AMBIENCE#GENERAL,không gian,negative,chật}; {FOOD#PRICES,giá cả,positive,hợp lí}; {LOCATION#GENERAL,null,negative,khó tìm}"
pizza ở đây ăn khá ngon mà giá cũng tạm đc,piza ở đây ăn khá ngon mà giá cũng tạm được,chất lượng đồ ăn tốt vì pizza ngon và giá tiền đồ ăn tạm vì giá tạm đc,"{FOOD#QUALITY,pizza,positive,ngon}; {FOOD#PRICES,giá,neutral,tạm đc}"
"quán làm hơi lâu, bánh mì nóng và ngon tuy nhiên bò mình ăn hơi khô mì thì hơi ngấy","quán làm hơi lâu , bánh mì nóng và ngon tuy nhiên bò mình ăn hơi khô mì thì hơi ngấy",dịch vụ tệ vì nó lâu và chất lượng đồ ăn tốt vì bánh mì ngon và chất lượng đồ ăn tệ vì bò khô và chất lượng đồ ăn tệ vì mì ngấy và lựa chọn đồ ăn tốt vì bánh mì nóng,"{SERVICE#GENERAL,null,negative,lâu}; {FOOD#QUALITY,bánh mì,positive,ngon}; {FOOD#QUALITY,bò,negative,khô}; {FOOD#QUALITY,mì,negative,ngấy}; {FOOD#STYLE&OPTIONS,bánh mì,positive,nóng}"
củng không biết sao mà cứ thích cái nhà hàng này không gian tuy nhỏ nhưng ấm cúng nhân viên phục vụ dễ thương nhiệt tình món ăn thì dạo này ngon hơn lúc xưa nhiều chắc do đầu tư đầu bếp,củng không biết sao mà cứ thích cái nhà hàng này không gian tuy nhỏ nhưng ấm cúng nhân viên phục vụ dễ thương nhiệt tình món ăn thì dạo này ngon hơn lúc xưa nhiều chắc do đầu tư đầu bếp,dịch vụ tốt vì nhân viên phục vụ dễ thương nhiệt tình và chất lượng đồ ăn tốt vì món ăn ngon và không gian tệ vì không gian nhỏ và không gian tốt vì không gian ấm cúng,"{SERVICE#GENERAL,nhân viên phục vụ,positive,dễ thương nhiệt tình}; {FOOD#QUALITY,món ăn,positive,ngon}; {AMBIENCE#GENERAL,không gian,negative,nhỏ}; {AMBIENCE#GENERAL,không gian,positive,ấm cúng}"
bánh khoai môn ở jollibee cũng ngon và vẫn đặc trưng đó size nhỏ hơn hẳn chỗ khác và rẻ hơn phục vụ cũng ok đợi món 15p,bánh khoai môn ở jolibe cũng ngon và vẫn đặc trưng đó cỡ nhỏ hơn hẳn chỗ khác và rẻ hơn phục vụ cũng ok đợi món num p,dịch vụ tạm vì phục vụ ok và chất lượng đồ ăn tốt vì bánh khoai môn ngon và lựa chọn đồ ăn tệ vì size nhỏ và giá tiền đồ ăn tốt vì nó rẻ và dịch vụ tạm vì đợi món #tạm và chất lượng đồ ăn tốt vì bánh khoai môn đặc trưng,"{SERVICE#GENERAL,phục vụ,neutral,ok}; {FOOD#QUALITY,bánh khoai môn,positive,ngon}; {FOOD#STYLE&OPTIONS,size,negative,nhỏ}; {FOOD#PRICES,null,positive,rẻ}; {SERVICE#GENERAL,đợi món,neutral,null}; {FOOD#QUALITY,bánh khoai môn,positive,đặc trưng}"
cơm xèo cá hồi theo ý anh bạn đi chung nói là không ngon không gian rộng rãi nhưng máy lạnh tầng 1 gần cửa sổ không lạnh nổi hơi bị nóng cung cách phục vụ cũng được,cơm xèo cá hồi theo ý anh bạn đi chung nói là không ngon không gian rộng rãi nhưng máy lạnh tầng num gần cửa sổ không lạnh nổi hơi bị nóng cung cách phục vụ cũng được,dịch vụ tạm vì cung cách phục vụ cũng được và chất lượng đồ ăn tệ vì cơm xèo cá hồi không ngon và không gian tốt vì không gian rộng rãi và vấn đề khác tệ vì máy lạnh không lạnh,"{SERVICE#GENERAL,cung cách phục vụ,neutral,cũng được}; {FOOD#QUALITY,cơm xèo cá hồi,negative,không ngon}; {AMBIENCE#GENERAL,không gian,positive,rộng rãi}; {RESTAURANT#MISCELLANEOUS,máy lạnh,negative,không lạnh}"
nhân viên lịch sự chu đáo không gian rộng rãi sang trọng lâu lâu gia đình cũng khá lí tưởng ăn no nê luôn vat và nước thì tổng mỗi đứa 340k nha,nhân viên lịch sự chu đáo không gian rộng rãi sang trọng lâu lâu gia đình cũng khá lí tưởng ăn no nê luôn vat và nước thì tổng mỗi đứa giá tiền nha,dịch vụ tốt vì nhân viên lịch sự chu đáo và giá tiền nhà hàng tạm và không gian tốt vì không gian rộng rãi sang trọng,"{SERVICE#GENERAL,nhân viên,positive,lịch sự chu đáo}; {RESTAURANT#PRICES,null,neutral,null}; {AMBIENCE#GENERAL,không gian,positive,rộng rãi sang trọng}"
menu đa dạng giá cả tương đối cao nhưng được quẹt e card nên không thành vấn đề,thực đơn đa dạng giá cả tương đối cao nhưng được quẹt em card nên không thành vấn đề,lựa chọn đồ ăn tốt vì menu đa dạng và giá tiền nhà hàng tệ vì giá cả cao và vấn đề khác tốt,"{FOOD#STYLE&OPTIONS,menu,positive,đa dạng}; {RESTAURANT#PRICES,giá cả,negative,cao}; {RESTAURANT#MISCELLANEOUS,null,positive,null}"
