input,aop,cap
không gian hơi chật và nhân viên khiến khách dễ chịu quá chừng,"{nhân viên,null,positive};{không gian,chật,negative}","{SERVICE#GENERAL,nhân viên,positive};{AMBIENCE#GENERAL,không gian,negative}"
giá hơi cao nhưng chất lượng rất ok và nhân viên phục vụ tốt,"{chất lượng,rất ok,positive};{nhân viên,phục vụ tốt,positive};{giá,cao,negative}","{RESTAURANT#GENERAL,chất lượng,positive};{SERVICE#GENERAL,nhân viên,positive};{RESTAURANT#PRICES,giá,negative}"
"quang cảnh cũng ok đó , quán cũng ổn đó , nhưng phong cách phục vụ + đồ ăn không duyệt được : )","{phong cách phục vụ,null,negative};{view,ok,neutral};{quán,ổn,neutral};{đồ ăn,null,negative}","{SERVICE#GENERAL,phong cách phục vụ,negative};{LOCATION#GENERAL,view,neutral};{RESTAURANT#GENERAL,quán,neutral};{FOOD#QUALITY,đồ ăn,negative}"
mình đã từng cùng đồng nghiệp ăn ở quán cục gạch chi nhánh khác thì thấy quán trang trí rất đẹp phục vụ tận tình thực đơn đa dạng và món ăn từ bài trí đến nêm nếm đều ổn,"{bài trí,ổn,neutral};{phục vụ,tận tình,positive};{nêm nếm,ổn,neutral};{menu,đa dạng,positive};{trang trí,đẹp,positive}","{FOOD#STYLE&OPTIONS,bài trí,neutral};{SERVICE#GENERAL,phục vụ,positive};{FOOD#QUALITY,nêm nếm,neutral};{FOOD#STYLE&OPTIONS,menu,positive};{AMBIENCE#GENERAL,trang trí,positive}"
"nhân viên nhiệt tình , quán ngon giá cả bình thường","{quán,ngon,positive};{nhân viên,nhiệt tình,positive};{giá cả,bình thường,neutral}","{RESTAURANT#GENERAL,quán,positive};{SERVICE#GENERAL,nhân viên,positive};{RESTAURANT#PRICES,giá cả,neutral}"
đặc biệt là mấy món nướng lên cực lâu kiểu ăn gần no cái đem thịt lên trong khi trước đó kêu quài thì không lên thịt nên ngoài trừ dịch vụ hơi kém thì tất cả đều ok hết,"{null,lâu,negative};{service,kém,negative};{tất cả,ok,neutral}","{SERVICE#GENERAL,null,negative};{SERVICE#GENERAL,service,negative};{RESTAURANT#GENERAL,tất cả,neutral}"
nói chung là trừ việc phục vụ hơi chậm thì món ăn thấy rất ổn,"{phục vụ,chậm,negative};{món ăn,rất ổn,positive}","{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,món ăn,positive}"
"đồ ăn không tệ nhưng lên món hơi chậm , thấy quán đông nên vẫn thông cảm được , chỗ gửi xe thì xa quá xa","{lên món,chậm,negative};{đồ ăn,không tệ,neutral};{chỗ gửi xe,xa,negative};{quán,đông,neutral}","{SERVICE#GENERAL,lên món,negative};{FOOD#QUALITY,đồ ăn,neutral};{RESTAURANT#MISCELLANEOUS,chỗ gửi xe,negative};{RESTAURANT#GENERAL,quán,neutral}"
thật bất ngờ là món phở chay rất ngon với giá vô cùng hợp lý mình nhớ là chưa tới giá tiền không gian nhà hàng nhỏ gồm num lầu nhưng bày trí rất ấm cúng và ấn tượng,"{phở chay,ngon,positive};{không gian,nhỏ,negative};{giá,hợp lý,positive};{bày trí,ấn tượng,positive};{bày trí,ấm cúng,positive}","{FOOD#QUALITY,phở chay,positive};{AMBIENCE#GENERAL,không gian,negative};{FOOD#PRICES,giá,positive};{AMBIENCE#GENERAL,bày trí,positive};{AMBIENCE#GENERAL,bày trí,positive}"
quán nằm ở trong hẻm khó tìm không gian hơi chật đồ ăn nhiều món ăn về hàn quốc giá cả hợp lí phù hợp với tuổi ten,"{đồ ăn,hàn quốc,positive};{không gian,chật,negative};{giá cả,hợp lí,positive};{null,khó tìm,negative}","{FOOD#STYLE&OPTIONS,đồ ăn,positive};{AMBIENCE#GENERAL,không gian,negative};{FOOD#PRICES,giá cả,positive};{LOCATION#GENERAL,null,negative}"
piza ở đây ăn khá ngon mà giá cũng tạm được,"{pizza,ngon,positive};{giá,tạm đc,neutral}","{FOOD#QUALITY,pizza,positive};{FOOD#PRICES,giá,neutral}"
"quán làm hơi lâu , bánh mì nóng và ngon tuy nhiên bò mình ăn hơi khô mì thì hơi ngấy","{null,lâu,negative};{bánh mì,ngon,positive};{bò,khô,negative};{mì,ngấy,negative};{bánh mì,nóng,positive}","{SERVICE#GENERAL,null,negative};{FOOD#QUALITY,bánh mì,positive};{FOOD#QUALITY,bò,negative};{FOOD#QUALITY,mì,negative};{FOOD#STYLE&OPTIONS,bánh mì,positive}"
