input,output
". sản_phẩm tốt , ủng_hộ kì hài_lòng",chất lượng tốt
"1 bao_bì rách bé ok . 2 không hài_lòng bé mấy miếng hăm 2 bẹn nổi hạt đỏ m lặn , bịch bỉm hài_lòng",an toàn tệ
1 gà to kì hài_lòng,phục vụ tốt
1 hộp móp không lỗi vận_chuyển móp . không ưng lắm mua shoppe chưa hàng móp shop 5 * . hi_vọng giao hàng cẩn_thận,vận chuyển tệ
"12h đêm hàng , đóng goi siêu kĩ , thùng chặn xốp , sản_phẩm lớn , 4 gói , hạn , bé uống thử tốt ủng_hộ",vận chuyển tốt và an toàn tốt
2 bé đều tã lớn yên_tâm . giá rẻ . giao hàng cực . kì hài_lòng,vận chuyển tốt và giá tiền tốt
"2 bọc không loại mua , hàng giao chậm hài_lòng",chất lượng tệ và vận chuyển tệ
2 mua hàng . giao . đóng_gói cẩn_thận . ủng_hộ tiếp 5,vận chuyển tốt
"2 mua hàng shop , ổn . giá deal rẻ chỗ , hạn rõ_ràng 2 / 2020 trừ 2 / 2023 . hàng không móp bung nắp",an toàn tốt và giá tiền tốt
"2 mua shop , trộm_vía vẻ hợp nan nga nan việt , ship 90k rẻ sg",giá tiền tốt và vận chuyển tốt
2 mua shop . hàng đủ tem mác . chất_lượng ok . hy_vọng niềm đúng chỗ . shop đóng_gói cẩn_thận . giao hàng j & t . tks,vận chuyển tốt và chân thật tốt
2 mua shop đều ưng . giao hàng siêu nhah . ủng_hộ shop,vận chuyển tốt
"2 mua sản_phẩm shop , sữa chuẩn . uống hộp dấu_hiệu cân",chất lượng tốt và chân thật tốt
2 mua sữa shop . giá rẻ . ủng_hộ,giá tiền tốt
2 mua đồ hàng đóng_gói cẩn_thận . ủng_hộ,vận chuyển tốt
2 quà khuyến_mãi món . đầu xe 3 bánh bọ sắt gắn 2 bánh_xe . lèo xếp bệnh_viện ghi 60 món hét mấy miếng to . quà khuyến_mãi như đánh_đố . không tâm quà,phục vụ tệ
