input,ao,ap,cp
không gian hơi chật và nhân viên khiến khách dễ chịu quá chừng,"{nhân viên,null};{không gian,chật}","{nhân viên,positive};{không gian,negative}","{SERVICE#GENERAL,positive};{AMBIENCE#GENERAL,negative}"
giá hơi cao nhưng chất lượng rất ok và nhân viên phục vụ tốt,"{chất lượng,rất ok};{nhân viên,phục vụ tốt};{giá,cao}","{chất lượng,positive};{nhân viên,positive};{giá,negative}","{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,negative}"
"quang cảnh cũng ok đó , quán cũng ổn đó , nhưng phong cách phục vụ + đồ ăn không duyệt được : )","{phong cách phục vụ,null};{view,ok};{quán,ổn};{đồ ăn,null}","{phong cách phục vụ,negative};{view,neutral};{quán,neutral};{đồ ăn,negative}","{SERVICE#GENERAL,negative};{LOCATION#GENERAL,neutral};{RESTAURANT#GENERAL,neutral};{FOOD#QUALITY,negative}"
mình đã từng cùng đồng nghiệp ăn ở quán cục gạch chi nhánh khác thì thấy quán trang trí rất đẹp phục vụ tận tình thực đơn đa dạng và món ăn từ bài trí đến nêm nếm đều ổn,"{bài trí,ổn};{phục vụ,tận tình};{nêm nếm,ổn};{menu,đa dạng};{trang trí,đẹp}","{bài trí,neutral};{phục vụ,positive};{nêm nếm,neutral};{menu,positive};{trang trí,positive}","{FOOD#STYLE&OPTIONS,neutral};{SERVICE#GENERAL,positive};{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,positive}"
"nhân viên nhiệt tình , quán ngon giá cả bình thường","{quán,ngon};{nhân viên,nhiệt tình};{giá cả,bình thường}","{quán,positive};{nhân viên,positive};{giá cả,neutral}","{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,neutral}"
đặc biệt là mấy món nướng lên cực lâu kiểu ăn gần no cái đem thịt lên trong khi trước đó kêu quài thì không lên thịt nên ngoài trừ dịch vụ hơi kém thì tất cả đều ok hết,"{null,lâu};{service,kém};{tất cả,ok}","{null,negative};{service,negative};{tất cả,neutral}","{SERVICE#GENERAL,negative};{SERVICE#GENERAL,negative};{RESTAURANT#GENERAL,neutral}"
nói chung là trừ việc phục vụ hơi chậm thì món ăn thấy rất ổn,"{phục vụ,chậm};{món ăn,rất ổn}","{phục vụ,negative};{món ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
"đồ ăn không tệ nhưng lên món hơi chậm , thấy quán đông nên vẫn thông cảm được , chỗ gửi xe thì xa quá xa","{lên món,chậm};{đồ ăn,không tệ};{chỗ gửi xe,xa};{quán,đông}","{lên món,negative};{đồ ăn,neutral};{chỗ gửi xe,negative};{quán,neutral}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{RESTAURANT#MISCELLANEOUS,negative};{RESTAURANT#GENERAL,neutral}"
thật bất ngờ là món phở chay rất ngon với giá vô cùng hợp lý mình nhớ là chưa tới giá tiền không gian nhà hàng nhỏ gồm num lầu nhưng bày trí rất ấm cúng và ấn tượng,"{phở chay,ngon};{không gian,nhỏ};{giá,hợp lý};{bày trí,ấn tượng};{bày trí,ấm cúng}","{phở chay,positive};{không gian,negative};{giá,positive};{bày trí,positive};{bày trí,positive}","{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,negative};{FOOD#PRICES,positive};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
quán nằm ở trong hẻm khó tìm không gian hơi chật đồ ăn nhiều món ăn về hàn quốc giá cả hợp lí phù hợp với tuổi ten,"{đồ ăn,hàn quốc};{không gian,chật};{giá cả,hợp lí};{null,khó tìm}","{đồ ăn,positive};{không gian,negative};{giá cả,positive};{null,negative}","{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,negative};{FOOD#PRICES,positive};{LOCATION#GENERAL,negative}"
piza ở đây ăn khá ngon mà giá cũng tạm được,"{pizza,ngon};{giá,tạm đc}","{pizza,positive};{giá,neutral}","{FOOD#QUALITY,positive};{FOOD#PRICES,neutral}"
"quán làm hơi lâu , bánh mì nóng và ngon tuy nhiên bò mình ăn hơi khô mì thì hơi ngấy","{null,lâu};{bánh mì,ngon};{bò,khô};{mì,ngấy};{bánh mì,nóng}","{null,negative};{bánh mì,positive};{bò,negative};{mì,negative};{bánh mì,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative};{FOOD#STYLE&OPTIONS,positive}"
củng không biết sao mà cứ thích cái nhà hàng này không gian tuy nhỏ nhưng ấm cúng nhân viên phục vụ dễ thương nhiệt tình món ăn thì dạo này ngon hơn lúc xưa nhiều chắc do đầu tư đầu bếp,"{nhân viên phục vụ,dễ thương nhiệt tình};{món ăn,ngon};{không gian,nhỏ};{không gian,ấm cúng}","{nhân viên phục vụ,positive};{món ăn,positive};{không gian,negative};{không gian,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,positive}"
bánh khoai môn ở jolibe cũng ngon và vẫn đặc trưng đó cỡ nhỏ hơn hẳn chỗ khác và rẻ hơn phục vụ cũng ok đợi món num p,"{phục vụ,ok};{bánh khoai môn,ngon};{size,nhỏ};{null,rẻ};{đợi món,null};{bánh khoai môn,đặc trưng}","{phục vụ,neutral};{bánh khoai môn,positive};{size,negative};{null,positive};{đợi món,neutral};{bánh khoai môn,positive}","{SERVICE#GENERAL,neutral};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,positive};{SERVICE#GENERAL,neutral};{FOOD#QUALITY,positive}"
cơm xèo cá hồi theo ý anh bạn đi chung nói là không ngon không gian rộng rãi nhưng máy lạnh tầng num gần cửa sổ không lạnh nổi hơi bị nóng cung cách phục vụ cũng được,"{cung cách phục vụ,cũng được};{cơm xèo cá hồi,không ngon};{không gian,rộng rãi};{máy lạnh,không lạnh}","{cung cách phục vụ,neutral};{cơm xèo cá hồi,negative};{không gian,positive};{máy lạnh,negative}","{SERVICE#GENERAL,neutral};{FOOD#QUALITY,negative};{AMBIENCE#GENERAL,positive};{RESTAURANT#MISCELLANEOUS,negative}"
nhân viên lịch sự chu đáo không gian rộng rãi sang trọng lâu lâu gia đình cũng khá lí tưởng ăn no nê luôn vat và nước thì tổng mỗi đứa giá tiền nha,"{nhân viên,lịch sự chu đáo};{null,null};{không gian,rộng rãi sang trọng}","{nhân viên,positive};{null,neutral};{không gian,positive}","{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,positive}"
thực đơn đa dạng giá cả tương đối cao nhưng được quẹt em card nên không thành vấn đề,"{menu,đa dạng};{giá cả,cao};{null,null}","{menu,positive};{giá cả,negative};{null,positive}","{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative};{RESTAURANT#MISCELLANEOUS,positive}"
