input,output_aop,output_cap
không gian hơi chật và nhân viên khiến khách dễ chịu quá chừng,tốt vì nhân viên #tốt và tệ vì không gian chật,dịch vụ tốt với nhân viên và không gian tệ với không gian
giá hơi cao nhưng chất lượng rất ok và nhân viên phục vụ tốt,tốt vì chất lượng rất ok và tốt vì nhân viên phục vụ tốt và tệ vì giá cao,nhà hàng nói chung tốt với chất lượng và dịch vụ tốt với nhân viên và giá tiền nhà hàng tệ với giá
"quang cảnh cũng ok đó , quán cũng ổn đó , nhưng phong cách phục vụ + đồ ăn không duyệt được : )",tệ vì phong cách phục vụ #tệ và tạm vì view ok và tạm vì quán ổn và tệ vì đồ ăn #tệ,dịch vụ tệ với phong cách phục vụ và địa chỉ tạm với view và nhà hàng nói chung tạm với quán và chất lượng đồ ăn tệ với đồ ăn
mình đã từng cùng đồng nghiệp ăn ở quán cục gạch chi nhánh khác thì thấy quán trang trí rất đẹp phục vụ tận tình thực đơn đa dạng và món ăn từ bài trí đến nêm nếm đều ổn,tạm vì bài trí ổn và tốt vì phục vụ tận tình và tạm vì nêm nếm ổn và tốt vì menu đa dạng và tốt vì trang trí đẹp,lựa chọn đồ ăn tạm với bài trí và dịch vụ tốt với phục vụ và chất lượng đồ ăn tạm với nêm nếm và lựa chọn đồ ăn tốt với menu và không gian tốt với trang trí
"nhân viên nhiệt tình , quán ngon giá cả bình thường",tốt vì quán ngon và tốt vì nhân viên nhiệt tình và tạm vì giá cả bình thường,nhà hàng nói chung tốt với quán và dịch vụ tốt với nhân viên và giá tiền nhà hàng tạm với giá cả
đặc biệt là mấy món nướng lên cực lâu kiểu ăn gần no cái đem thịt lên trong khi trước đó kêu quài thì không lên thịt nên ngoài trừ dịch vụ hơi kém thì tất cả đều ok hết,tệ vì nó lâu và tệ vì service kém và tạm vì tất cả ok,dịch vụ tệ và dịch vụ tệ với service và nhà hàng nói chung tạm với tất cả
nói chung là trừ việc phục vụ hơi chậm thì món ăn thấy rất ổn,tệ vì phục vụ chậm và tốt vì món ăn rất ổn,dịch vụ tệ với phục vụ và chất lượng đồ ăn tốt với món ăn
"đồ ăn không tệ nhưng lên món hơi chậm , thấy quán đông nên vẫn thông cảm được , chỗ gửi xe thì xa quá xa",tệ vì lên món chậm và tạm vì đồ ăn không tệ và tệ vì chỗ gửi xe xa và tạm vì quán đông,dịch vụ tệ với lên món và chất lượng đồ ăn tạm với đồ ăn và vấn đề khác tệ với chỗ gửi xe và nhà hàng nói chung tạm với quán
thật bất ngờ là món phở chay rất ngon với giá vô cùng hợp lý mình nhớ là chưa tới giá tiền không gian nhà hàng nhỏ gồm num lầu nhưng bày trí rất ấm cúng và ấn tượng,tốt vì phở chay ngon và tệ vì không gian nhỏ và tốt vì giá hợp lý và tốt vì bày trí ấn tượng và tốt vì bày trí ấm cúng,chất lượng đồ ăn tốt với phở chay và không gian tệ với không gian và giá tiền đồ ăn tốt với giá và không gian tốt với bày trí và không gian tốt với bày trí
quán nằm ở trong hẻm khó tìm không gian hơi chật đồ ăn nhiều món ăn về hàn quốc giá cả hợp lí phù hợp với tuổi ten,tốt vì đồ ăn hàn quốc và tệ vì không gian chật và tốt vì giá cả hợp lí và tệ vì nó khó tìm,lựa chọn đồ ăn tốt với đồ ăn và không gian tệ với không gian và giá tiền đồ ăn tốt với giá cả và địa chỉ tệ
