input,output
"+ phòng garden view:ok so với mức giá + phòng beach front:không biết có phải resort xếp nhầm phòng cho tv không? vì phòng hướng biển mà ở trong phòng là chịu chết, có muốn ngắm biển cũng khôngPđược. phải mở toang cửa đi ra ngoài mới thấyPbiển. phòng tôi ỏ phải gọi là phòng pool view mới Thuẩn. tôi nghĩ khu phòng 2 tầng, có balcon hướng biển mới được gọi là beachCfront. cái này, resort nên xem xéT lại. tôi là khách hàng dễ tính nên không có phàn nàn hay yêu cầu đổi phòng giK cả. khách hàng khó tính chắc sẽ rất mệt cho bạn l - ̃ tân.",khách sạn nói chung tệ
"- Biển khó tắm dành cho người già và trẻ em vì bãi cát không thoải, nhiều vỏ sò và rác.",cơ sở vật chất nói chung tệ
- Chúng tôi chọn phòng hướng phố.,phòng nói chung tạm
- Cách âm thì quá kém.,thiết kế và tính năng phòng tệ
- Còn cửa thì đã khoá rồi mà có thể mở ra một cách dễ dàng.,vấn đề khác của tiện nghi phòng tệ
"- CẨN THẬN với vòi nước nóng, vợ chồng tôi đến lúc trả phòng thú thật là cũng chưa quen với cách sử dụng nước nóng tại Saphir, mém phỏng mấy lần.",vấn đề khác của tiện nghi phòng tệ
"- Dịch vụ gia tăng:không có gì ngoài ăn sáng miễn phí. có khá nhiều lựa chọn vì resort làm buffet nhưng đồ ăn không được nóng, các món có rau thì bị nát quá làm tôi liên tưởng tới việc resort đang tái sử dụng rau - Nhân viên:rất lịch sự và nhiệtTtình. tuy nhiên, có 2 bạn lễ tân hỏi gì cũng ' em không rõ Kữa '. không biết 2 bạn có phải người dân Mũi Né không : - Khác:nhân viên của spa hơL bị. luống tuổi, các động tác massage chưa được bài bản, lặp đi lặp lại và hơi bị ăn bớt giờ nên chưa tạo được cảm giác thư giãn thật sự cho du khách.",phục vụ tệ
"- Dịch vụ phòng ngủ được bài trí đẹp - Nhân viên phục vụ ân cần, nhiệt tình với kháchKhuyết điểm:- Thực đơn bữa sáng không được thay đổi món, lặp đi lặp lại.",phục vụ tốt và lựa chọn đồ ăn thức uống tệ
- Hầu như không bắt được wifi khi ở trong phòng nghỉ.,chất lượng cơ sở vật chất tệ
"- Khuyến cái mọi người ở đây rất muỗi, tôi không dám mở cửa phòng ra vì sợ muỗi bay vào phòng.",vệ sinh phòng tệ và vấn đề khác của phòng tệ
- Không có nước nóng trong phòng Superior - Buổi sáng 8 giờ là đồ ăn gần hết chắc hôm mình đi có khách tour đi sớm nên ' hốt ' hết cả đồ ăn ^ ^.,vấn đề khác đồ ăn thức uống tệ và vấn đề khác của tiện nghi phòng tệ
- Máy lạnh thì chạy như máy quạt.,chất lượng tiện nghi phòng tệ
"- Nhân viên bán vé + Nhân Viên soát vé vào khu Đảo Khỉ không trung thực nhặt vé cũ bán lại, không xé vé Kết Luận:Tôi rất thích Cần Giờ vì đi gần + rừng cây, sông rạch, .",phục vụ tệ
"- Nhân viên lịch sự, mượn thêm mền gối ok vui vẻ.",phục vụ tốt
"- Nhân viên nơi đây phục vụ chuyên nghiệp, có thể đáp ứng nhu cầu khách hàng một cách nhanh chóng.",phục vụ tốt
"- Nhân viên phục vụ tốt - Nhiệt tình, thân thiện.",phục vụ tốt
- Nước nóng thì cứ phải mở van chừng 10 phút mới có được nước nóng - Hồ bơi view đẹp nhưng không sạch - Về dịch vụ thì cũng tạm OK.,vệ sinh cơ sở vật chất tệ và phục vụ tạm và vấn đề khác của tiện nghi phòng tệ
"- Phòng cách âm quá tệ, tiếng bên ngoài, tiếng xem tv phòng kế bên cứ vọng vào.",thiết kế và tính năng phòng tệ và sự thoải mái phòng tệ
- Phòng khách sạn:ngủ không được vì bị muỗi hoành hành.,vệ sinh phòng tệ và sự thoải mái phòng tệ
"- Phòng ngủ rộng, không gian thông thoáng.",thiết kế và tính năng phòng tốt
- Phòng thì quá bẩn.,vệ sinh phòng tệ
"- Phòng ốc của resort khá ổn, view biển đẹp, gió lồng lộng - Nhân viên vui vẻ, nhiệt tình - Ăn sáng thiếu chả về lượng lẫn về chất cần cải thiện - Hồ bơi sạch, không tắm biển được vì có bờ kè.",khách sạn nói chung tạm và phục vụ tốt và vệ sinh cơ sở vật chất tệ và chất lượng đồ ăn thức uống tệ và lựa chọn đồ ăn thức uống tệ
"- Phòng ở tiện nghi, sạch sẽ - Dịch vụ tốt - Nhân viên thân thiện - Thức ăn ngon, vệ sinh, đẹp mắt, giá tốt Có một vài điểm nhỏ cần để hoàn thiện hơn như:- Phòng không có máy lạnh cho nhưng lúc Đà Lạt không lạnh lắm hay khách nước ngoài không quen nóng - Đường từ ngoài vào khách sạn chưa được đẹp và không có đèn khi trời tối khách sạn có xe đưa đón vào nội thành.",phục vụ tốt và thiết kế và tính năng khách sạn tốt và thiết kế và tính năng tiện nghi phòng tốt và vệ sinh khách sạn tốt và sự thoải mái phòng tốt và chất lượng đồ ăn thức uống tốt và lựa chọn đồ ăn thức uống tốt và tiện nghi phòng nói chung tốt
"- Thuộc hệ thống Ngọc Sương nên đồ ăn ở nhà hàng Ngọc Sương ngon, giá không đắt lắm nhưng cách xa resort hơn 500m, giá như có xe nội bộ đưa khách từ resort ra nhà hàng thì hay hơn.",giá tiền đồ ăn thức uống tạm và chất lượng đồ ăn thức uống tốt và địa chỉ tạm
"- Tiện nghi đầy đủ, dĩ nhiên vẫn thiếu 1 số thứ khách sạn 5  sao có khách sạn này chỉ 4  sao như:không có tinh dầu tắm lẫn dầu xông - cái này mình đi khách sạn Mai Anh Đào không có  sao nào mà vẫn có tinh dầu xông.",cơ sở vật chất nói chung tốt
"- Tiện nghi:lúc nhận phòng, nhân viên thông báo hồ bơi tạm bảo trì từ 20 - 25/4.",phòng nói chung tạm
"- Truyền hình cable có vẻ không được tốt lắm, hơi nhiễu, không bắt được một số kênh chính thống - Khi có rác dạt vào bãi biển ví dụ trong ngày 5.7 nên bố trí nhân viên thu dọn ngay để du khách không cảm thấy ngại ngần khi xuống biển.",vấn đề khác của tiện nghi phòng tốt và phục vụ tệ và vấn đề khác của tiện nghi phòng tệ
"- Vệ sinh, dọn phòng rất ổn nhé.",vệ sinh phòng tốt
"- Vị trí xa trung tâm TP nhưng nhờ vậy được cái yên tĩnh, thích hợp cho nghỉ dưỡng.",địa chỉ tệ và sự thoải mái khách sạn tốt
"- vệ sinh:phòng tôi có gián con nằm chết ngửa ở góc cửa, chỗ hít vào tường.",vệ sinh phòng tệ
- Ăn sáng chọn 1 trong 2:Bánh mì ốp la hoặc bún riêu tàu hủ - trứng chiên.,lựa chọn đồ ăn thức uống tạm
"- Ăn sáng ngày thường không có buffet, mỗi người 1 đĩa / tô và 1 ly nước, không ngon lắm.",chất lượng đồ ăn thức uống tệ và lựa chọn đồ ăn thức uống tệ
"- Ăn sáng tệ, ít món và chế biến kém - Phòng kém, ban công hướng ra nhà dân, rất ồn ào, cách âm kém - Nhân viên kém chuyên nghiệp, không hỗ trợ được khách nhiều.",chất lượng đồ ăn thức uống tệ và lựa chọn đồ ăn thức uống tệ và chất lượng phòng tệ và thiết kế và tính năng phòng tệ và sự thoải mái phòng tệ và phục vụ tệ
10.,khách sạn nói chung tốt
2 ngày lưu trú tại Saphir đã cho cảm giác thoải mái bởi thái độ niềm nở của nhân viên khách sạn.,phục vụ tốt và sự thoải mái khách sạn tốt
2 ngày mà thực đơn ăn sáng giống nhau.,lựa chọn đồ ăn thức uống tệ
2 vợ chồng 2 con nhỏ Địa điểm thuận lợi.,địa chỉ tốt
